monthly_usage_hours,days_since_signup,num_support_tickets,avg_session_minutes,num_referrals,discount_pct_used,upgraded
37.1,52.0,3.0,19.2,2.0,34.0,1
23.1,156.0,0.0,37.7,2.0,14.6,0
31.1,94.0,1.0,31.3,2.0,12.8,0
18.3,248.0,0.0,29.1,2.0,5.8,1
42.2,229.0,0.0,6.2,1.0,0.9,1
39.0,220.0,2.0,3.7,1.0,11.8,0
61.2,158.0,3.0,24.0,0.0,30.8,1
36.2,176.0,4.0,32.3,1.0,11.2,1
57.6,19.0,2.0,24.6,1.0,48.2,1
72.6,233.0,0.0,23.7,0.0,10.2,1
52.1,473.0,0.0,19.7,0.0,22.5,1
35.2,149.0,2.0,25.4,1.0,7.8,0
13.1,157.0,0.0,35.5,3.0,23.2,0
49.7,373.0,2.0,32.1,0.0,11.5,1
21.8,161.0,0.0,4.7,2.0,5.8,0
17.2,149.0,1.0,21.3,3.0,43.2,0
65.7,313.0,0.0,22.1,0.0,0.0,0
58.7,236.0,0.0,27.0,0.0,10.2,0
8.6,229.0,0.0,31.5,3.0,0.0,0
61.8,153.0,4.0,14.4,0.0,21.6,1
39.3,257.0,0.0,10.8,1.0,0.0,0
56.7,208.0,4.0,26.8,0.0,26.5,0
20.0,192.0,0.0,11.7,2.0,0.0,0
62.0,157.0,4.0,30.5,0.0,21.0,1
47.6,227.0,0.0,9.2,1.0,0.0,0
53.7,255.0,0.0,25.8,0.0,0.0,0
50.9,242.0,1.0,20.7,0.0,3.4,0
27.0,182.0,0.0,12.2,2.0,15.0,1
52.4,82.0,5.0,31.9,1.0,21.3,1
28.5,132.0,5.0,32.1,2.0,7.7,1
45.4,238.0,0.0,6.2,1.0,0.0,0
28.3,187.0,4.0,17.1,1.0,4.7,1
17.9,188.0,0.0,18.4,2.0,25.2,0
44.7,58.0,3.0,17.6,1.0,36.2,1
39.3,76.0,1.0,31.3,1.0,0.0,0
40.5,187.0,0.0,20.2,1.0,4.1,1
51.1,152.0,4.0,28.7,0.0,13.2,1
13.9,214.0,0.0,18.8,2.0,0.0,0
42.4,56.0,2.0,11.5,1.0,8.4,0
64.7,251.0,0.0,24.9,0.0,0.0,0
43.2,129.0,4.0,25.0,1.0,14.4,1
26.6,166.0,0.0,24.1,2.0,0.3,0
45.4,39.0,1.0,19.0,1.0,0.0,0
58.2,249.0,0.0,25.1,0.0,3.6,0
30.8,229.0,1.0,25.4,1.0,2.4,0
51.7,221.0,0.0,29.1,0.0,0.0,0
57.4,174.0,1.0,21.7,0.0,0.9,0
24.7,171.0,0.0,26.5,2.0,2.1,1
44.7,295.0,0.0,16.5,0.0,4.6,0
58.0,189.0,1.0,22.6,0.0,0.2,0
46.3,284.0,0.0,19.7,0.0,0.0,0
46.1,172.0,3.0,7.6,1.0,17.1,0
40.5,116.0,5.0,23.5,1.0,7.3,1
56.8,251.0,0.0,23.7,0.0,0.0,0
72.4,222.0,0.0,17.2,0.0,0.0,0
10.0,183.0,0.0,22.6,3.0,10.2,0
42.5,82.0,1.0,7.3,1.0,0.0,0
53.7,242.0,0.0,13.3,0.0,0.0,0
44.1,66.0,1.0,20.9,1.0,0.0,0
17.7,83.0,0.0,5.8,3.0,0.0,1
31.0,140.0,1.0,25.3,2.0,0.9,0
66.2,268.0,0.0,26.6,0.0,0.0,0
47.0,118.0,4.0,20.3,1.0,25.4,1
51.3,219.0,1.0,4.6,0.0,9.2,0
41.0,214.0,2.0,29.6,1.0,5.5,0
66.7,247.0,1.0,13.8,0.0,7.4,0
28.9,162.0,1.0,6.5,2.0,6.9,0
32.6,106.0,0.0,12.3,2.0,0.0,0
49.4,214.0,1.0,17.8,0.0,15.2,0
18.2,143.0,1.0,29.9,3.0,30.6,0
35.1,101.0,0.0,18.6,2.0,0.0,0
50.8,236.0,0.0,26.3,0.0,0.0,0
38.3,53.0,1.0,24.1,2.0,0.0,0
28.1,308.0,1.0,23.9,1.0,6.6,0
47.9,330.0,1.0,19.9,0.0,8.8,1
64.1,283.0,1.0,14.8,0.0,9.5,0
18.6,159.0,0.0,13.9,2.0,16.0,0
26.3,141.0,0.0,13.3,2.0,8.2,0
38.4,87.0,1.0,18.6,2.0,0.0,0
66.5,208.0,0.0,15.1,0.0,9.7,0
29.3,211.0,3.0,28.0,1.0,9.4,0
41.9,220.0,0.0,5.9,1.0,0.0,0
32.5,278.0,1.0,12.4,1.0,6.9,0
85.6,268.0,0.0,36.1,0.0,7.8,0
26.9,159.0,0.0,27.7,2.0,0.0,0
41.4,72.0,3.0,24.5,1.0,24.6,1
39.9,210.0,5.0,22.5,1.0,3.9,0
40.3,236.0,0.0,19.7,1.0,0.0,0
53.0,333.0,0.0,18.2,0.0,0.0,0
19.7,158.0,0.0,15.1,2.0,16.3,0
26.2,172.0,0.0,32.3,2.0,2.3,0
11.6,243.0,1.0,23.4,2.0,7.7,1
32.6,88.0,1.0,31.4,2.0,15.1,0
57.4,222.0,2.0,25.4,0.0,14.9,0
14.1,200.0,0.0,29.0,3.0,27.0,0
38.9,282.0,3.0,11.6,1.0,27.3,0
16.8,1.0,2.0,1.4,3.0,29.7,1
33.4,54.0,2.0,10.7,2.0,23.8,0
32.2,275.0,0.0,20.8,1.0,6.6,0
37.3,242.0,0.0,32.5,1.0,0.0,0
41.2,205.0,3.0,34.2,1.0,22.1,0
31.6,279.0,2.0,20.6,1.0,0.0,1
23.7,165.0,0.0,19.5,2.0,5.5,0
33.4,57.0,2.0,28.9,2.0,23.3,0
34.8,265.0,2.0,27.9,1.0,0.7,1
25.5,175.0,1.0,23.9,2.0,21.5,0
21.0,138.0,1.0,22.3,2.0,36.9,0
18.3,154.0,0.0,11.6,2.0,12.0,0
47.3,15.0,2.0,11.9,1.0,0.0,0
39.3,105.0,1.0,10.2,1.0,0.0,0
37.0,108.0,2.0,12.2,1.0,7.6,0
38.6,196.0,5.0,23.0,1.0,9.5,1
47.8,29.0,2.0,29.0,1.0,38.7,1
56.5,257.0,5.0,25.0,0.0,11.4,0
47.8,254.0,0.0,17.8,0.0,0.0,0
54.9,200.0,1.0,26.8,0.0,4.9,0
28.1,136.0,0.0,36.9,2.0,0.0,0
42.6,164.0,1.0,10.6,1.0,0.0,0
40.3,67.0,2.0,28.6,1.0,1.5,0
42.5,247.0,2.0,3.0,1.0,14.7,0
48.6,93.0,3.0,13.5,1.0,28.7,1
23.5,199.0,0.0,30.1,2.0,5.9,1
22.2,211.0,0.0,21.5,2.0,11.2,1
19.2,126.0,1.0,24.5,3.0,45.0,0
27.6,156.0,0.0,24.2,2.0,0.0,0
30.4,104.0,1.0,22.8,2.0,3.9,0
3.8,254.0,0.0,5.2,3.0,43.1,0
26.5,141.0,0.0,24.1,2.0,4.2,0
30.0,212.0,5.0,20.6,1.0,0.0,1
53.1,104.0,3.0,27.8,1.0,31.3,1
42.0,51.0,2.0,31.6,1.0,5.9,0
18.4,212.0,0.0,21.2,2.0,0.0,0
51.8,283.0,0.0,17.4,0.0,0.0,0
27.3,290.0,2.0,12.5,1.0,9.9,1
35.7,92.0,2.0,35.8,2.0,13.6,0
54.5,353.0,3.0,30.4,0.0,0.0,1
27.9,343.0,0.0,9.7,1.0,14.6,1
62.6,212.0,2.0,9.2,0.0,27.4,0
33.4,81.0,4.0,24.4,2.0,20.7,1
67.2,263.0,2.0,24.5,0.0,25.4,0
30.6,282.0,0.0,15.7,1.0,0.5,0
43.0,296.0,0.0,23.8,0.0,1.4,0
35.5,88.0,0.0,22.6,2.0,0.0,0
52.3,100.0,3.0,15.7,1.0,26.4,1
57.5,1.0,2.0,30.6,1.0,56.4,1
34.1,110.0,1.0,7.6,2.0,6.3,0
81.5,313.0,0.0,11.9,0.0,0.0,0
49.9,45.0,2.0,14.9,1.0,39.1,1
50.1,194.0,3.0,18.2,0.0,24.9,0
45.9,81.0,2.0,12.0,1.0,2.5,0
50.5,1.0,3.0,28.7,1.0,0.0,0
27.9,1.0,3.0,17.2,3.0,27.9,1
55.3,371.0,2.0,37.2,0.0,6.1,1
47.6,218.0,4.0,14.9,0.0,26.9,0
26.2,115.0,1.0,3.6,2.0,20.4,0
47.1,250.0,4.0,21.3,0.0,24.7,1
45.4,276.0,3.0,17.9,0.0,21.6,0
39.3,266.0,0.0,14.2,1.0,0.0,0
11.2,233.0,0.0,23.6,2.0,9.6,0
48.6,254.0,1.0,30.1,0.0,11.7,0
50.7,235.0,1.0,35.3,0.0,0.0,0
26.4,236.0,3.0,3.1,1.0,0.0,1
22.7,179.0,0.0,29.3,2.0,0.0,1
36.4,323.0,0.0,26.9,1.0,14.8,1
9.3,237.0,0.0,34.7,3.0,11.0,0
30.4,206.0,1.0,17.4,1.0,0.0,1
60.4,224.0,0.0,29.6,0.0,1.1,0
33.2,92.0,1.0,11.7,2.0,8.7,0
51.2,213.0,0.0,20.5,0.0,0.0,0
15.3,164.0,0.0,30.1,3.0,25.4,0
65.9,110.0,3.0,23.8,0.0,35.1,1
29.6,244.0,1.0,12.8,1.0,1.0,1
29.3,108.0,0.0,17.4,2.0,6.6,0
31.9,101.0,0.0,21.1,2.0,0.0,0
57.2,148.0,4.0,18.2,0.0,21.2,1
57.0,210.0,2.0,29.9,0.0,12.0,0
50.2,31.0,3.0,14.9,1.0,41.1,1
69.8,187.0,2.0,19.8,0.0,27.5,0
60.9,207.0,0.0,24.7,0.0,0.0,0
32.9,90.0,1.0,10.7,2.0,5.4,0
38.3,223.0,0.0,17.2,1.0,11.8,1
28.2,113.0,0.0,18.9,2.0,0.0,0
48.7,5.0,2.0,12.1,1.0,0.0,0
65.2,108.0,3.0,6.4,0.0,35.0,1
25.8,160.0,0.0,16.7,2.0,0.0,0
40.1,90.0,3.0,12.2,1.0,10.9,0
43.8,54.0,3.0,24.2,1.0,34.6,1
37.9,145.0,4.0,22.5,1.0,12.1,1
50.0,257.0,0.0,12.3,0.0,6.3,0
47.7,11.0,2.0,29.7,1.0,0.0,0
27.8,316.0,0.0,40.4,1.0,3.8,1
24.7,154.0,1.0,12.7,2.0,23.7,0
46.8,194.0,3.0,6.7,1.0,23.8,0
52.6,253.0,5.0,16.1,0.0,0.0,1
14.4,227.0,0.0,18.5,2.0,0.0,0
40.0,241.0,0.0,16.4,1.0,0.0,0
29.6,130.0,1.0,17.6,2.0,13.7,0
32.9,109.0,0.0,29.2,2.0,0.0,0
49.1,213.0,6.0,15.5,0.0,29.9,0
43.5,226.0,1.0,22.1,1.0,6.3,0
84.3,291.0,0.0,16.2,0.0,0.0,0
70.5,217.0,4.0,16.0,0.0,24.4,1
8.8,223.0,0.0,12.2,3.0,15.6,0
48.4,223.0,3.0,15.0,0.0,8.0,0
48.6,34.0,3.0,11.3,1.0,4.3,0
70.7,235.0,0.0,23.6,0.0,0.0,0
36.4,108.0,2.0,21.3,2.0,12.8,0
45.1,259.0,6.0,20.2,0.0,0.0,1
45.7,142.0,2.0,15.2,1.0,4.3,0
30.3,240.0,2.0,24.9,1.0,5.5,1
0.0,319.0,0.0,12.9,3.0,22.1,0
39.9,71.0,2.0,13.9,2.0,13.0,0
53.3,1.0,3.0,24.2,1.0,0.0,0
45.2,83.0,2.0,16.9,1.0,0.0,0
47.5,343.0,4.0,19.4,0.0,9.5,1
52.1,219.0,4.0,23.1,0.0,18.7,1
15.1,148.0,0.0,1.0,3.0,32.3,0
29.5,227.0,0.0,15.9,1.0,3.1,1
60.6,228.0,1.0,19.5,0.0,19.8,0
58.0,259.0,0.0,23.4,0.0,3.2,0
34.8,359.0,0.0,10.3,1.0,18.3,1
44.3,251.0,2.0,15.9,0.0,8.7,0
40.3,191.0,3.0,22.4,1.0,18.4,0
32.6,109.0,0.0,15.6,2.0,4.7,0
47.2,194.0,5.0,27.6,0.0,4.5,1
21.7,169.0,2.0,11.4,2.0,34.4,0
55.2,86.0,4.0,3.7,1.0,28.8,1
61.4,230.0,1.0,21.4,0.0,11.5,0
43.1,8.0,2.0,21.7,2.0,1.5,0
49.8,224.0,5.0,17.7,0.0,11.4,1
30.7,191.0,2.0,26.5,1.0,9.1,0
27.1,90.0,0.0,24.7,2.0,0.9,0
40.9,283.0,2.0,19.7,0.0,22.8,0
43.0,227.0,0.0,33.3,1.0,0.0,0
39.0,238.0,0.0,17.4,1.0,0.0,0
50.9,219.0,1.0,16.3,0.0,7.3,0
56.5,441.0,2.0,25.2,0.0,16.2,1
37.8,114.0,4.0,20.8,1.0,11.7,1
34.9,79.0,0.0,20.5,2.0,0.0,0
44.8,221.0,0.0,16.3,1.0,2.6,0
26.5,284.0,0.0,17.6,1.0,0.0,0
44.1,41.0,2.0,37.3,1.0,0.0,0
22.1,143.0,0.0,21.7,2.0,11.7,1
48.2,251.0,2.0,17.4,0.0,9.4,0
41.3,181.0,1.0,26.0,1.0,3.7,0
34.1,296.0,0.0,14.8,1.0,16.5,1
69.4,338.0,5.0,19.5,0.0,6.7,1
55.3,280.0,1.0,10.5,0.0,20.1,0
51.7,293.0,0.0,27.3,0.0,0.0,0
23.1,177.0,0.0,27.1,2.0,12.2,0
33.1,180.0,1.0,1.4,1.0,0.0,1
50.7,209.0,1.0,22.9,0.0,3.2,0
74.3,184.0,0.0,18.3,0.0,1.5,0
30.2,123.0,0.0,17.5,2.0,0.0,0
51.3,219.0,0.0,26.8,0.0,4.8,0
16.5,203.0,0.0,24.2,2.0,0.0,0
21.6,267.0,0.0,1.2,2.0,0.0,0
18.2,170.0,1.0,21.2,2.0,31.9,0
43.8,221.0,1.0,1.0,1.0,6.9,0
55.8,230.0,0.0,10.9,0.0,0.0,0
17.2,144.0,0.0,37.1,3.0,0.0,0
41.9,99.0,0.0,28.6,1.0,0.0,0
46.7,261.0,0.0,24.1,0.0,0.0,0
33.3,236.0,5.0,13.6,1.0,0.0,1
23.9,159.0,0.0,9.8,2.0,0.0,1
52.3,4.0,2.0,16.4,1.0,0.0,0
53.1,292.0,0.0,34.3,0.0,17.3,1
46.5,282.0,1.0,1.0,0.0,18.3,0
40.6,295.0,0.0,21.0,1.0,3.7,0
47.8,255.0,0.0,38.5,0.0,0.0,0
32.4,266.0,0.0,5.3,1.0,0.0,0
34.1,325.0,0.0,23.7,1.0,9.9,1
38.9,23.0,2.0,9.1,2.0,23.1,0
41.3,273.0,2.0,10.0,1.0,15.0,0
39.4,46.0,1.0,16.6,2.0,0.0,0
50.6,25.0,3.0,13.3,1.0,0.8,0
13.3,239.0,0.0,9.5,2.0,1.7,0
31.1,77.0,0.0,9.7,2.0,4.4,0
27.7,115.0,1.0,21.9,2.0,22.9,0
55.4,247.0,1.0,14.3,0.0,4.9,0
69.2,252.0,0.0,18.8,0.0,6.7,0
24.2,187.0,0.0,23.1,2.0,12.5,0
41.9,250.0,1.0,1.0,1.0,16.7,0
37.7,117.0,1.0,26.1,1.0,5.0,0
34.0,74.0,1.0,8.6,2.0,1.9,0
49.4,227.0,1.0,11.2,0.0,16.4,0
40.4,46.0,2.0,8.3,2.0,19.7,0
39.6,90.0,0.0,13.8,1.0,0.0,0
34.3,120.0,1.0,30.1,2.0,3.4,0
24.3,129.0,0.0,14.2,2.0,11.9,0
3.0,248.0,0.0,21.8,3.0,18.9,0
14.5,171.0,0.0,20.1,3.0,16.8,0
13.2,214.0,0.0,28.6,3.0,34.1,0
43.5,75.0,1.0,18.7,1.0,0.0,0
47.4,396.0,0.0,17.3,0.0,13.1,1
31.8,218.0,3.0,16.2,1.0,3.6,0
75.5,262.0,0.0,30.6,0.0,12.1,0
45.3,224.0,0.0,19.7,1.0,6.2,0
25.4,181.0,0.0,13.5,2.0,2.9,0
72.8,218.0,0.0,11.8,0.0,21.2,0
9.7,125.0,0.0,22.5,3.0,9.8,1
63.9,228.0,1.0,9.5,0.0,13.2,0
37.0,245.0,1.0,15.1,1.0,1.7,0
44.0,297.0,0.0,23.0,0.0,6.8,0
59.3,269.0,1.0,30.9,0.0,25.4,0
15.6,184.0,0.0,18.9,3.0,17.0,1
48.0,4.0,3.0,9.6,1.0,38.4,1
41.9,277.0,0.0,21.8,1.0,0.0,0
40.5,289.0,0.0,7.7,1.0,7.6,1
59.3,203.0,1.0,23.4,0.0,20.5,0
8.1,241.0,0.0,21.8,3.0,38.2,0
21.4,178.0,0.0,27.8,2.0,18.7,0
50.4,259.0,0.0,10.7,0.0,0.0,0
60.7,290.0,0.0,24.3,0.0,11.2,0
54.8,247.0,0.0,25.8,0.0,0.3,0
36.9,182.0,2.0,3.8,1.0,10.2,0
48.6,114.0,2.0,11.6,1.0,26.0,1
25.4,152.0,0.0,23.5,2.0,0.0,0
43.5,107.0,2.0,11.6,1.0,30.8,1
16.9,293.0,0.0,19.6,2.0,28.3,1
37.0,76.0,0.0,15.9,2.0,0.0,0
58.8,227.0,0.0,14.0,0.0,6.0,0
18.7,176.0,0.0,19.4,2.0,25.6,0
49.7,232.0,0.0,20.8,0.0,0.0,0
27.7,322.0,1.0,23.4,1.0,12.9,1
45.4,224.0,1.0,20.0,1.0,8.9,0
54.5,214.0,3.0,13.1,0.0,17.0,0
21.1,159.0,2.0,23.4,2.0,43.0,0
13.1,227.0,0.0,27.3,2.0,0.0,0
42.5,302.0,0.0,17.8,0.0,5.0,1
34.0,85.0,1.0,24.1,2.0,7.1,0
39.4,43.0,1.0,11.3,2.0,5.9,0
32.5,95.0,1.0,16.6,2.0,4.1,0
34.9,92.0,3.0,19.1,2.0,26.4,1
49.6,246.0,1.0,3.9,0.0,7.2,0
25.6,109.0,0.0,37.6,2.0,18.8,0
55.2,268.0,0.0,22.0,0.0,11.3,0
30.6,100.0,1.0,25.6,2.0,17.7,0
55.6,240.0,0.0,14.4,0.0,0.0,0
34.9,67.0,1.0,11.9,2.0,9.3,0
39.3,203.0,3.0,12.7,1.0,19.0,0
69.3,194.0,1.0,21.9,0.0,0.8,0
41.5,320.0,0.0,30.9,0.0,5.9,0
71.3,253.0,1.0,24.0,0.0,26.1,0
48.9,250.0,0.0,25.7,0.0,6.9,0
54.4,286.0,0.0,14.1,0.0,2.5,0
45.7,1.0,1.0,18.3,1.0,0.0,0
47.5,301.0,0.0,16.8,0.0,5.0,0
39.9,55.0,1.0,20.7,2.0,0.0,1
53.5,192.0,2.0,9.4,0.0,20.4,0
31.2,131.0,0.0,27.6,2.0,0.0,0
41.6,302.0,0.0,23.3,1.0,0.0,0
37.7,262.0,0.0,11.3,1.0,0.0,0
49.7,286.0,0.0,18.9,0.0,0.0,1
55.0,207.0,5.0,34.1,0.0,13.3,1
19.1,182.0,0.0,25.4,2.0,1.9,0
56.7,495.0,2.0,9.4,0.0,12.1,1
39.7,239.0,0.0,19.9,1.0,0.0,0
51.9,119.0,4.0,27.9,1.0,24.5,1
0.0,338.0,0.0,20.9,3.0,44.7,0
44.7,281.0,2.0,20.7,0.0,20.9,0
33.9,239.0,2.0,21.7,1.0,0.0,1
49.5,322.0,0.0,2.1,0.0,9.2,0
30.1,182.0,0.0,30.3,2.0,0.0,1
32.9,286.0,1.0,18.8,1.0,3.2,0
46.0,119.0,3.0,13.7,1.0,22.5,1
36.3,1.0,4.0,10.0,2.0,25.5,1
8.6,231.0,0.0,23.4,3.0,16.9,0
34.4,113.0,0.0,26.2,2.0,0.0,0
33.6,100.0,2.0,23.8,2.0,24.9,0
40.8,307.0,4.0,26.7,0.0,0.0,1
30.5,114.0,1.0,7.7,2.0,9.6,0
67.9,211.0,0.0,18.5,0.0,0.0,0
24.4,150.0,0.0,16.4,2.0,15.0,0
36.0,107.0,2.0,32.6,2.0,7.1,0
21.0,183.0,0.0,11.0,2.0,12.0,1
52.1,208.0,0.0,40.7,0.0,7.2,0
46.4,155.0,4.0,26.7,1.0,14.6,1
23.4,164.0,3.0,25.9,2.0,0.0,1
59.5,209.0,5.0,21.0,0.0,18.3,1
50.5,271.0,0.0,7.6,0.0,0.0,0
11.7,273.0,0.0,5.6,2.0,0.4,0
28.3,143.0,1.0,23.5,2.0,11.8,0
45.9,80.0,1.0,18.6,1.0,45.4,1
33.1,97.0,1.0,16.8,2.0,2.9,0
28.8,104.0,0.0,27.8,2.0,0.0,0
18.5,213.0,0.0,15.0,2.0,0.0,0
43.0,59.0,3.0,10.3,1.0,18.9,0
51.8,127.0,4.0,22.8,0.0,22.4,1
31.4,185.0,2.0,19.4,1.0,0.0,1
39.7,126.0,1.0,28.1,1.0,0.0,0
37.8,236.0,4.0,24.2,1.0,14.6,0
21.5,138.0,0.0,22.7,2.0,16.0,0
